annotation_id,text,pred_label,label,method,question,answer
Fiction-stories-masc-A_Wasted_Day-11.txt:11:0,"fellow - creatures in misfortune . he purposely spoke in a loud voice , and every one stopped to listen . "" the law , mr . thorndike , is not vindictive , "" he said . "" it wishes only to be just . nor can it be swayed by wealth or political or social influences . but when there is good in a man , i , personally , want to know it , and when gentlemen like",0,1,multirc_lei_contiguous_direct,How did Mr. Thorndike feel about the judge making his speech in regards to him ?,He was pleased
Fiction-stories-masc-hotel-California-0.txt:0:0,"' d kiss a monkey . metaphorically , of course . fact : if , before all the air is sucked out of the ship , a person is so lucky to have stuffed him or herself into a space suit , that person has less than twenty - four hours to live . this is more than the person would have sans space suit . me , i found a space suit",1,1,multirc_lei_contiguous_direct,Why would the narrator not hear Jesse talk about his girlfriend ?,"Because sound travels as a mechanical wave through a medium, and in space, there is no medium"
Fiction-stories_mctest-mc160.train.64-0.txt:10:4,"one sandwich for each of us . "" sam ' s mom laughed , "" you ' re right sam ! "" sam ' s mom said she was being silly .",0,1,multirc_lei_contiguous_direct,What day were they going to the beach and how did Same show his excitement ?,He wiggled in his seat
Fiction-stories_mctest-mc160.train.67-0.txt:2:2,friends . he plays with his friends mandy and andrew . timothy also plays pretend when he is alone . he has an imaginary friend named sean . sean is an elephant who watches television with timothy . mandy,0,0,multirc_lei_contiguous_direct,What does Andrew pretend play ?,He pretends he watches tv
Fiction-stories_mctest-mc500.dev.43-0.txt:0:0,". joey put on a blue shirt with red and green dots . the two squirrels ate some food that joey ' s mom , jasmine , made and went off to bed .",0,1,multirc_lei_contiguous_direct,Why was Joey surprised the morning he woke up for breakfast ?,There was nothing to eat but pie
Fiction-stories_mctest-mc500.dev.43-0.txt:10:2,"joey put on a blue shirt with red and green dots . the two squirrels ate some food that joey ' s mom , jasmine , made and went off to bed .",0,0,multirc_lei_contiguous_direct,What activities did the two rabbits enjoys doing in the story ?,Walking
Fiction-stories_mctest-mc500.dev.49-0.txt:7:2,"named andy . after she is done , she gives the picture to her mom . her mom hangs it up on the silver refrigerator . the next day , lucy ' s mom comes home with a brown dog named oliver . she tells lucy",0,1,multirc_lei_contiguous_direct,What does Martha put on the silver refrigerator ?,Lucy's picture
Fiction_gutenberg-10020.txt:7:1,", which were much smaller and whiter than those of his brothers , there ran a dull red scar that looked as if he had had a bad cut there . then they all sat down , excepting the old mother , who busied herself in waiting on them .",0,0,multirc_lei_contiguous_direct,Who served the stew ?,The younger son
Fiction_gutenberg-10028.txt:0:0,"<S> while the base ball writers of the cities which comprise the southern association have no organized membership similar to the base ball writers ' association of the major leagues and the organizations which are best known as the class aa leagues , they are a clever , hard - working group of young men , who",0,0,multirc_lei_contiguous_direct,The writers of which Association are said to have elevated the standard of Base Ball over the past 25 years ?,Northern
Fiction_gutenberg-10028.txt:2:5,tended to encroach upon the limits of the pastime . this has been repressed in the last two seasons and to - day the morale of base ball is of a higher type than it ever has been in the history of the pastime .,0,1,multirc_lei_contiguous_direct,What characteristics of the pastime of baseball has been repressed ?,"The tendency for the commercial end of the game, and for more dishonesty to encroach upon the pastime in general"
Fiction_gutenberg-10221.txt:13:3,"an editorial in it to which his attention had been drawn , on hearing which mr . driggs turned his head and winked at an imaginary accomplice .",0,0,multirc_lei_contiguous_direct,Who bore Mr. Steadman no Ill will for his plain talk ?,The main guy
