annotation_id,text,pred_label,label,method,question,answer
Fiction-stories-masc-A_Wasted_Day-11.txt:11:0,andrews . . spear different . young . mr . thorndike . . isaacs . . andrews . . judge mr . thorndike hand . . public spirited neglect own interests justice fellow creatures . . . thorndike . . can be or political or social . there good in a man personally to know gentlemen like speak good word for listen . more unselfish . quite absurd embarrassing mr . thorndike glowed pleasure . .,0,1,multirc_lei_top_k_direct,How did Mr. Thorndike feel about the judge making his speech in regards to him ?,He was pleased
Fiction-stories-masc-hotel-California-0.txt:0:0,": . mechanical wave medium , there is . so airlocks n ' t . . eyes . ? crewmate jesse girl vacation . suit ' . . fact : , sucked out ship person him or herself space suit - four . person suit . , space suit whomever ) , less twenty - four . four or . , ' .",1,1,multirc_lei_top_k_direct,Why would the narrator not hear Jesse talk about his girlfriend ?,"Because sound travels as a mechanical wave through a medium, and in space, there is no medium"
Fiction-stories_mctest-mc160.train.64-0.txt:10:4,"sam sam mom dad sam . sam grandma sam . sam mom sam little 12 . mom sam sam . dad ' each . . ' sandwiches sam mom dad mom sam . mom mom sam , each of . sam ' s mom "" ' sam "" sam ' mom .",0,1,multirc_lei_top_k_direct,What day were they going to the beach and how did Same show his excitement ?,He wiggled in his seat
Fiction-stories_mctest-mc160.train.67-0.txt:2:2,<S> timothy . . timothy . mandy . timothy . sean . sean timothy . mandy but also . mandy . flowers . . . . . andrew . . boy . andrew .,0,0,multirc_lei_top_k_direct,What does Andrew pretend play ?,He pretends he watches tv
Fiction-stories_mctest-mc500.dev.43-0.txt:0:0,joey . joey jimmy . joey jimmy . joey jimmy aunt julie . joey . n ' t eat pie joey cereal fruit pear oatmeal . jimmy . . . . joey jimmy . . jimmy . joey shirt . two joey jasmine .,0,1,multirc_lei_top_k_direct,Why was Joey surprised the morning he woke up for breakfast ?,There was nothing to eat but pie
Fiction-stories_mctest-mc500.dev.43-0.txt:10:2,joey . joey jimmy . joey jimmy . joey jimmy aunt julie . joey . n ' t joey cereal fruit pear oatmeal . jimmy . . . . joey jimmy . . jimmy . joey blue shirt . two joey jasmine .,0,0,multirc_lei_top_k_direct,What activities did the two rabbits enjoys doing in the story ?,Walking
Fiction-stories_mctest-mc500.dev.49-0.txt:7:2,lucy year parents bird . . family . mom martha dress . andy . mom . mom refrigerator . lucy mom home dog oliver . lucy friend . lucy mom dog . lucy . oliver . . . lucy . !,1,1,multirc_lei_top_k_direct,What does Martha put on the silver refrigerator ?,Lucy's picture
Fiction_gutenberg-10020.txt:7:1,". . man and woman man unkempt hair matted beard age . woman or . age . garments shawl . but , babette mother . table stove stew . son . table babette across one of his hands smaller brothers a dull scar as if he had cut . all sat down excepting mother .",1,0,multirc_lei_top_k_direct,Who served the stew ?,The younger son
Fiction_gutenberg-10028.txt:0:0,"<S> while the ball the cities which membership similar ball writers ' the major best known as class aa , working group young men . quarter of elevated . the of the . . and men who ball . earlier . later pastime . been - higher pastime .",0,0,multirc_lei_top_k_direct,The writers of which Association are said to have elevated the standard of Base Ball over the past 25 years ?,Northern
Fiction_gutenberg-10028.txt:2:5,"<S> while cities which membership ball writers the major best known as class , working young men to . elevated . the of . . and men who ball . earlier dishonesty . later encroach upon pastime . repressed and - higher pastime .",1,1,multirc_lei_top_k_direct,What characteristics of the pastime of baseball has been repressed ?,"The tendency for the commercial end of the game, and for more dishonesty to encroach upon the pastime in general"
