annotation_id,text,pred_label,label,method,question,answer
Fiction-stories-masc-A_Wasted_Day-11.txt:11:0,"for coming , and i wish more of our citizens were as unselfish and public - spirited . "" it was all quite absurd and most embarrassing , but inwardly mr . thorndike glowed with pleasure . it was a long time since any one had had the audacity to tell him he had done well .",1,1,multirc_wrapper_max_length_direct,How did Mr. Thorndike feel about the judge making his speech in regards to him ?,He was pleased
Fiction-stories-masc-hotel-California-0.txt:0:0,". give or take . about the time i was composing my last words in my head , trying not to think too much about what suffocating felt like , that ' s when i heard a bell .",1,1,multirc_wrapper_max_length_direct,Why would the narrator not hear Jesse talk about his girlfriend ?,"Because sound travels as a mechanical wave through a medium, and in space, there is no medium"
Fiction-stories_mctest-mc160.train.64-0.txt:10:4,"one sandwich for each of us . "" sam ' s mom laughed , "" you ' re right sam ! "" sam ' s mom said she was being silly .",0,1,multirc_wrapper_max_length_direct,What day were they going to the beach and how did Same show his excitement ?,He wiggled in his seat
Fiction-stories_mctest-mc160.train.67-0.txt:2:2,"is a good boy his mom , mrs . smith , sometimes gives him milk and cookies . afterwards , andrew finishes his homework .",0,0,multirc_wrapper_max_length_direct,What does Andrew pretend play ?,He pretends he watches tv
Fiction-stories_mctest-mc500.dev.43-0.txt:0:0,"with red and green dots . the two squirrels ate some food that joey ' s mom , jasmine , made and went off to bed .",1,1,multirc_wrapper_max_length_direct,Why was Joey surprised the morning he woke up for breakfast ?,There was nothing to eat but pie
Fiction-stories_mctest-mc500.dev.43-0.txt:10:2,"put on a blue shirt with red and green dots . the two squirrels ate some food that joey ' s mom , jasmine , made and went off to bed .",0,0,multirc_wrapper_max_length_direct,What activities did the two rabbits enjoys doing in the story ?,Walking
Fiction-stories_mctest-mc500.dev.49-0.txt:7:2,to play fetch with her . lucy giggles and throws a ball for him to catch . she wishes her bird could play like this with her every day !,1,1,multirc_wrapper_max_length_direct,What does Martha put on the silver refrigerator ?,Lucy's picture
Fiction_gutenberg-10020.txt:7:1,", which were much smaller and whiter than those of his brothers , there ran a dull red scar that looked as if he had had a bad cut there . then they all sat down , excepting the old mother , who busied herself in waiting on them .",0,0,multirc_wrapper_max_length_direct,Who served the stew ?,The younger son
Fiction_gutenberg-10028.txt:0:0,repressed in the last two seasons and to - day the morale of base ball is of a higher type than it ever has been in the history of the pastime .,0,0,multirc_wrapper_max_length_direct,The writers of which Association are said to have elevated the standard of Base Ball over the past 25 years ?,Northern
Fiction_gutenberg-10028.txt:2:5,- day the morale of base ball is of a higher type than it ever has been in the history of the pastime .,1,1,multirc_wrapper_max_length_direct,What characteristics of the pastime of baseball has been repressed ?,"The tendency for the commercial end of the game, and for more dishonesty to encroach upon the pastime in general"
Fiction_gutenberg-10221.txt:13:3,"an editorial in it to which his attention had been drawn , on hearing which mr . driggs turned his head and winked at an imaginary accomplice .",0,0,multirc_wrapper_max_length_direct,Who bore Mr. Steadman no Ill will for his plain talk ?,The main guy
Fiction_gutenberg_withoutQuotes_gutenberg-106-0.txt:0:1,", feared , was far from possessing an angelic temper . nature had given him few of the kindlier characteristics of man , and these few fate had eradicated entirely . shrewd , cunning , cruel , vindictive , was bukawai , the witch - doctor .",0,1,multirc_wrapper_max_length_direct,Who arrived at the cave with Tibo ?,Bukawai
Fiction_gutenberg_withoutQuotes_gutenberg-106-0.txt:9:1,"far from possessing an angelic temper . nature had given him few of the kindlier characteristics of man , and these few fate had eradicated entirely . shrewd , cunning , cruel , vindictive , was bukawai , the witch - doctor .",1,1,multirc_wrapper_max_length_direct,The opening to what was low and narrow ?,The mouth of the cave
Fiction_gutenberg_withoutQuotes_gutenberg-10641-0.txt:1:3,"' s great talents were rewarded . in 1850 he became minister of commerce ; in 1852 , prime minister . after that , his history is the history of italy itself .",0,1,multirc_wrapper_max_length_direct,How many years after he entered the army did Cavour become prime minister ?,Twenty six
Fiction_gutenberg_withoutQuotes_gutenberg-11249-0.txt:1:2,"would make edgar conceited , - - a fault from which he was already suffering . as soon as he was free to do as he pleased , therefore , it was natural that he should rewrite his poems and publish them .",1,1,multirc_wrapper_max_length_direct,Why did Edgar leave University ?,"His father didn't understand him, and he had debts"
Fiction_gutenberg_withoutQuotes_gutenberg-11508-0.txt:0:2,"often below zero , no murmur was heard , and all anxiously , eagerly looked forward to a meeting with the brutal savage murderers of their fellow citizens . such were the conditions when i arrived at headquarters .",0,0,multirc_wrapper_max_length_direct,"When the narrator arrived at the headquarters , approximately how many men were present ?",525 men
Fiction_gutenberg_withoutQuotes_gutenberg-11508-0.txt:2:6,"and all anxiously , eagerly looked forward to a meeting with the brutal savage murderers of their fellow citizens . such were the conditions when i arrived at headquarters .",1,0,multirc_wrapper_max_length_direct,Where were the volunteers under Captains O.C. Applegate and Kelly to be concentrated once under the command of General Wheaten ?,District of the Lake
Fiction_mctest-mc160.dev.12-0.txt:3:1,did not know that what he was doing was not very nice . cowboy was only a cat . a great big cat that did not know any better .,0,0,multirc_wrapper_max_length_direct,Why was Cowboy not a nice cat ?,Bite
Fiction_mctest-mc160.dev.12-0.txt:5:1,only a cat . a great big cat that did not know any better .,1,1,multirc_wrapper_max_length_direct,Where did Cowboy hide in the great big house when he was being mean ?,Curled up tight in a ball under a blanket or behind a corner
Fiction_mctest-mc160.test.12-0.txt:1:1,sent each friend a thank you card the next week .,1,1,multirc_wrapper_max_length_direct,Did Susan call her friends before or after asking her mother ?,Before asking her mother
