annotation_id,text,pred_label,label,method,question,answer
Fiction-stories-masc-A_Wasted_Day-11.txt:11:0," leaned . people thorndike twinge the result pleased wished , some . begrudged the of spear morning had wasted . interests and . he was railed when name his honor "" he said impressively "" . judge thorndike . and fellow - creatures thorndike . , , know when city stultify of were as unselfish - "" but inwardly . thorndike glowed with pleasure . long any he had done well",1,1,multirc_simple_gradient_top_k_direct,How did Mr. Thorndike feel about the judge making his speech in regards to him ?,He was pleased
Fiction-stories-masc-hotel-California-0.txt:0:0,"medium no medium quiet ? such relief to crewmate jesse natter about his back that - paid vacation she won last photo camera beaches or than hours than , found a space statistically that whomever ship the than hours ; yes studies have . hours . i composing last in , suffocating heard .",1,1,multirc_simple_gradient_top_k_direct,Why would the narrator not hear Jesse talk about his girlfriend ?,"Because sound travels as a mechanical wave through a medium, and in space, there is no medium"
Fiction-stories_mctest-mc160.train.64-0.txt:10:4," use the . at breakfast sam so excited wiggling in his seat ! mom would on clock and the little 12 . if sandwiches for and . made dad . started sandwich ! sandwiches makes sandwich each . s "" you sam .",0,1,multirc_simple_gradient_top_k_direct,What day were they going to the beach and how did Same show his excitement ?,He wiggled in his seat
Fiction-stories_mctest-mc160.train.67-0.txt:2:2," pretends pitcher he . sean . is elephant who watches television with timothy . mandy to paint . . flowers says artist . painted leaves . it snack is , gives ,",0,0,multirc_simple_gradient_top_k_direct,What does Andrew pretend play ?,He pretends he watches tv
Fiction-stories_mctest-mc500.dev.43-0.txt:0:0," swimming at aunt joey n ' t eat except pie ! joey , fruit ( a ) oatmeal breakfast ate , saw water . food that , jasmine went off to bed .",1,1,multirc_simple_gradient_top_k_direct,Why was Joey surprised the morning he woke up for breakfast ?,There was nothing to eat but pie
Fiction-stories_mctest-mc500.dev.43-0.txt:10:2," squirrel named swimming together . eat . cereal fruit a oatmeal breakfast to pond swam . . jimmy walking home . their wet purple dots the squirrels some , jasmine and to bed .",0,0,multirc_simple_gradient_top_k_direct,What activities did the two rabbits enjoys doing in the story ?,Walking
Fiction-stories_mctest-mc500.dev.49-0.txt:7:2, a of martha wearing purple dress . many yellow feathers named . done gives the picture to . on the silver refrigerator . lucy s takes . . his wags woof ! lucy ball . every !,1,1,multirc_simple_gradient_top_k_direct,What does Martha put on the silver refrigerator ?,Lucy's picture
Fiction_gutenberg-10020.txt:7:1," of boisterous woman unkempt the gave withered witch , spite she dressed with tattered shawl crossed over come bade babette seated mother get speedily . she coarse saucepan savoury stew . the youngest produced spirits . whiter his a that if . excepting old mother , busied in them .",0,0,multirc_simple_gradient_top_k_direct,Who served the stew ?,The younger son
Fiction_gutenberg-10028.txt:0:0, the cities comprise the southern association similar association major labored . of more of a abundantly base elevated dogmatic assertion editor players far there has spirit clubs actually . game encroach pastime . seasons of higher type has history pastime .,0,0,multirc_simple_gradient_top_k_direct,The writers of which Association are said to have elevated the standard of Base Ball over the past 25 years ?,Northern
Fiction_gutenberg-10028.txt:2:5,labored quarter a has most abundantly of has . it dogmatic of the . of was dishonesty . there came a season the commercial the game tended encroach upon the pastime repressed two - ball is in pastime .,1,1,multirc_simple_gradient_top_k_direct,What characteristics of the pastime of baseball has been repressed ?,"The tendency for the commercial end of the game, and for more dishonesty to encroach upon the pastime in general"
Fiction_gutenberg-10221.txt:13:3,"the would communication established was a reluctantly - some , evidently mr . for his . wrapper . mr steadman carelessly that there was an editorial in to his attention drawn which an accomplice",0,0,multirc_simple_gradient_top_k_direct,Who bore Mr. Steadman no Ill will for his plain talk ?,The main guy
Fiction_gutenberg_withoutQuotes_gutenberg-106-0.txt:0:1,"tibo . saplings rawhide . bukawai the hyenas . bukawai saplings rocky passage . was trodden until inequalities tortuous dark and . bukawai walked familiar lane . every mother knows the he jerked little pace bukawai set ; witch diseased shunned angelic kindlier shrewd , cunning vindictive was bukawai the witch doctor",0,1,multirc_simple_gradient_top_k_direct,Who arrived at the cave with Tibo ?,Bukawai
Fiction_gutenberg_withoutQuotes_gutenberg-106-0.txt:9:1, arrived at the mouth of cave two . and saplings rawhide beasts saplings a narrow . was which inequalities the tortuous rough bruised bukawai gallery familiar daylight every knows of child jerked bukawai the old witch - angelic . kindlier shrewd vindictive bukawai the .,1,1,multirc_simple_gradient_top_k_direct,The opening to what was low and narrow ?,The mouth of the cave
Fiction_gutenberg_withoutQuotes_gutenberg-10641-0.txt:1:3," cavour piedmontese an unimportant embarked operations the estates twelve years agricultural , and agriculture , guano agricultural associations ; emmanuel rewarded . in 1850 he became ; . after his is the history italy itself .",0,1,multirc_simple_gradient_top_k_direct,How many years after he entered the army did Cavour become prime minister ?,Twenty six
Fiction_gutenberg_withoutQuotes_gutenberg-11249-0.txt:1:2," poe ' life family did peculiar displeased had run into debt at college . there was the two was must university go . appears attempt ; but he boston , were before was strictly enough , . this conceited fault free pleased natural rewrite .",1,1,multirc_simple_gradient_top_k_direct,Why did Edgar leave University ?,"His father didn't understand him, and he had debts"
Fiction_gutenberg_withoutQuotes_gutenberg-11508-0.txt:0:2," meantime the bade . the mutual bremer ' west the wheaton s ranch the the such forces oregon the wheaton . two companies numbered 225 . , . they saddles , a meeting citizens . were the conditions when i arrived at .",0,0,multirc_simple_gradient_top_k_direct,"When the narrator arrived at the headquarters , approximately how many men were present ?",525 men
Fiction_gutenberg_withoutQuotes_gutenberg-11508-0.txt:2:6," lava wheaton commanding the ordered command wheaton could fort were concentrated bremer ranch beds general land ranch of tule lake directly north disposition the forces when headquarters ranch oregon the command . the , bedding the brutal savage murderers fellow citizens such were .",1,0,multirc_simple_gradient_top_k_direct,Where were the volunteers under Captains O.C. Applegate and Kelly to be concentrated once under the command of General Wheaten ?,District of the Lake
Fiction_mctest-mc160.dev.12-0.txt:3:1," named . cowboy nice cowboy to and great many cowboy , , to bite in blanket toy hungry seeds . . ball under a little try bite nice a . big .",0,0,multirc_simple_gradient_top_k_direct,Why was Cowboy not a nice cat ?,Bite
Fiction_mctest-mc160.dev.12-0.txt:5:1," house cowboy bite . when was soft seeds . when feeling . hide , curled up in a ball a blanket or behind a little . .",1,1,multirc_simple_gradient_top_k_direct,Where did Cowboy hide in the great big house when he was being mean ?,Curled up tight in a ball under a blanket or behind a corner
Fiction_mctest-mc160.test.12-0.txt:1:1, . five friends . her mom susan sick town . parents susan a thank week .,1,1,multirc_simple_gradient_top_k_direct,Did Susan call her friends before or after asking her mother ?,Before asking her mother
History-Anthropology_oanc-HistoryEdinburgh-4.txt:0:4," chapel , stirling when news subdue mary edward henry wooing . scotland independence schism britain anne boleyn viii brought . the scots divided many protestantism of the reformation while . , fear led ailies france , the queen the francois son french king . francois in 1559 in mary returned to a the grip reformation had parliament pope . elizabeth — virgin was crown were . she st giles . darnley june the royal in castle mary gave birth however marrying earl bothwell .",1,0,multirc_simple_gradient_top_k_direct,What did the Scots refuse to do that sent Henry rampaging through Scotland ?,"The Scots denounced Henry's wife, Anne Bolyn"
History-Anthropology_oanc-HistoryItaly-1.txt:0:3,"the romans legend rome founded romulus 753 etruscan rome monarchy in b a patrician cities weakened rivalries unstable rome drew a aristocracy consuls senate over plebeians . romans network 000 the punic conquests southern france . participated contributions etruscan greek cities hannibal b . c rome the massacres punic war b c . national solidarity off . under julius caesar , in b c",1,1,multirc_simple_gradient_top_k_direct,What leader gave Rome national solidarity ?,Julius Caesar
History-Anthropology_oanc-HistoryItaly-1.txt:13:2," rome of mythmakers under etruscan domination monarchy until a in 510 . . republic centuries contrast italian and , drew strength a consuls over plebeians invasion . of of . . the with macedonia of colonization . etruscan capua syracuse 218 . c . followed up carthaginians massacres enslavement final ended in 149 b off . under julius caesar . c .",0,0,multirc_simple_gradient_top_k_direct,How long was Rome ruled as a monarchy ?,510
